id,title,description,type,difficulty,action_taken_A,good_result_chance_A,gold_effect_A_good,provisions_effect_A_good,morale_effect_A_good,crew_effect_A_good,gold_effect_A_bad,provisions_effect_A_bad,morale_effect_A_bad,crew_effect_A_bad,action_taken_B,good_result_chance_B,gold_effect_B_good,provisions_effect_B_good,morale_effect_B_good,crew_effect_B_good,gold_effect_B_bad,provisions_effect_B_bad,morale_effect_B_bad,crew_effect_B_bad
1,Rough Waters,High waves bombard the ship,Sea,1,Drop anchor,1,0,-2,3,0,0,0,0,0,Brave the waters,0.7,0,-1,4,3,0,-3,-2,-1
2,Approaching Storm,The crew sees dark clouds on the horizon,Sea,3,Continue ahead,0.6,0,0,4,0,0,-2,-2,-2,Alter ship's course,1,-1,-1,1,0,0,0,0,0
3,Caught in Storm,The ship is caught in a sudden storm,Sea,4,Push through the storm,0.4,-1,-2,2,0,-3,-5,-4,-3,Drop anchor and weather the storm,0.6,0,-3,-2,0,-3,-4,-4,0
4,Crew Mutiny,Crew rebels against the captain,Sea,5,Kill the traitors,0.7,2,0,3,-10,0,0,-5,-15,Kill the mutiny's leader,0.5,0,0,3,-1,0,0,-4,-5
5,Navigation Error,A miscalculation results in a navigation error,Sea,3,Chart a new course,1,-2,-3,1,0,0,0,0,0,Attempt to follow the original course,0.6,0,-1,2,0,-2,-3,-3,-2
6,Fire on the Ship,A fire in the galley spread towards the gunpowder magazine,Sea,5,Form bucket brigade and throw barrels of gunpowder overboard,1,-4,-8,2,0,0,0,0,0,Sail upwind to blow flames away from ship and attempt to smother the fire,0.5,-2,-2,5,0,-7,-10,-5,-3
7,Food Shortage,Food spoils due to saltwater contaimination and heat,Sea,4,Ration what remains unspoiled,1,0,-2,-1,0,0,0,0,0,Search for land and try to resupply,0.65,0,4,2,0,0,-4,-3,-1
8,Water Shortage,Fresh water spills from water casks due to improper storage  and rough seas,Sea,5,Collect fresh water from rainfall,0.7,0,2,1,0,0,0,-2,-3,Return to pirate haven to resupply,1,-2,4,0,0,0,0,0,0
9,Smallpox Outbreak,Smallpox begins to spread among the crew from an infected crew member,Sea,3,Quarantine infected crew,0.8,0,0,2,0,0,0,-4,-5,Force infected crew to abandon ship using the ship's boats,1,0,0,1,-1,0,0,0,0
10,Foggy Waters,A dense fog envelops the ship,Sea,2,Navigate slowly through the fog,0.75,-1,1,-1,-1,-2,-3,-3,-2,Drop anchor and wait for fog to clear,1,-1,-1,1,0,0,0,0,0
11,Ship Runs Aground,Ship strikes a barrier reef in shallow water,Sea,3,Attempt to free the ship using anchors and ropes,0.6,0,-1,3,0,-2,-3,-2,-2,Use the ship's longboat to search for nearby land,0.5,3,5,4,0,-1,-3,-2,-3
12,Sudden Squall,"A small, unexpected squall suddenly hits the ship",Sea,3,Drop the sails to reduce wind resistance and stabilize the ship,1,-1,-2,2,0,0,0,0,0,Adjust the course to angle the ship into the wind and ride it out,0.7,0,0,3,0,-2,-3,-3,-2
13,Unfamiliar Waters,The ship enters an unknown and dangerous part of the sea,Sea,4,Carefully navigate using the stars and compass,0.8,0,0,3,0,-4,-3,-4,-3,Risk a faster route through uncharted waters,0.4,2,0,2,-2,-5,-3,-5,-5
14,Pirate Encounter,Another pirate ship is spotted on the horizon,Sea,5,Avoid the pirates and continue on your way,1,2,-1,1,0,0,0,0,0,Make contact with ship and form alliance to attack a coastal city,0.4,8,7,5,12,-5,-4,-3,-12
15,Rogue Wave,"A massive, unpredictable wave strikes the ship",Sea,5,Main the pumps and bail out the water,0.4,-1,-2,5,0,-12,-12,-5,-6,Abandon the ship and escape in the ship's boats,1,-10,-10,-4,0,0,0,0,0
16,Whale Carcass,Crew sights a whale carcass floating on the surface of the water,Sea,3,"Collect and harvest the carcass for oil, blubber, and baleen",0.5,5,6,4,0,-1,-2,-2,-3,Ignore the whale carcass and continue with your journey,1,0,0,2,0,0,0,0,0
17,Sinking Ship Sighted,"A nearby ship is seen sinking, potentially in need of help",Sea,4,Rescue survivors from the sinking ship,0.7,0,0,4,5,-2,-3,-2,-2,Ignore the survivors and collect loot,0.8,7,6,3,0,0,0,-2,-3
18,Man overboard,Crew member working the sails loses balance and falls into the sea below,Sea,4,Deploy jolly boat to rescue crew member,1,0,-1,2,0,0,0,0,0,Use ropes and boat hook to try to rescue crew member,0.5,0,0,3,0,0,-2,-3,-1
19,Violation of Pirate Code,Crewmember commits an infraction against pirate code,Sea,3,Flog the crew member but allow them to stay on the crew,0.7,0,0,-2,0,0,-2,-6,-1,Set crewmember adrift in one of the ship's small boats,1,0,-3,1,-1,0,0,0,0
20,Calm Sea,The sea becomes unexpectedly calm and still,Sea,2,Take advantage of the calm for rest and repairs,1,4,4,4,2,0,0,0,0,Use the opportunity to move the ship further along the course,0.8,7,6,6,4,-3,-5,-2,-3
21,Treasure Hunt,The crew discovers a map leading to hidden treasure on a remote island.,Island,3,Follow the path on the map to the treasure,1,10,-3,2,0,0,0,0,0,Go in a straight line to the treasure's location,0.6,10,0,4,0,2,-5,-2,-1
22,Deserted Island,The ship comes across an uninhabited island with potential resources.,Island,1,Gather food and materials for ship repairs,1,0,10,4,0,0,0,0,0,Gather valuable trade goods and treasure,1,8,2,4,0,0,0,0,0
23,Lost Crew Member,A crew member goes missing after a shore excursion.,Island,4,Wait for the crew member to return to the ship,0.5,0,0,7,0,-2,-4,-2,-1,Deploy a search party to find the crew member,0.7,0,-3,3,0,0,-6,-4,-3
24,Shipwrecked Goods,A shipwreck is found on the shore with salvageable goods.,Island,3,Search the wreck for food and resources,1,0,6,3,0,0,0,0,0,Search the wreck for gold and treasure,1,8,0,4,0,0,0,0,0
25,Pirates' Hideout,The crew stumbles upon an old pirate hideout with goods to steal.,Island,4,Gather the treasure and resources that are easily found,1,5,5,2,0,0,0,0,0,Search through the more dilapidated sections of the hideout for hidden goods,0.6,10,10,5,0,3,2,-2,-5
26,Lost in the Jungle,The crew gets lost in a thick jungle while searching for resources.,Island,3,Retrace your footsteps to return to the ship,0.8,0,-3,2,0,-1,-5,-1,-2,Set the jungle on fire to clear a path,0.8,0,-1,7,0,-2,-5,-4,-8
27,Coastal Harvest,You happen across a large amount of coastal resources.,Island,2,"Collect fish, seaweed, and driftwood",1,0,9,3,0,0,0,0,0,Dive for pearls and other valuables,1,9,0,4,0,0,0,0,0
28,Trade with Locals,The crew meets locals on a nearby island and they wish to trade with you.,Island,3,Threaten the locals for goods,0.8,15,12,5,0,2,-3,-2,-6,Trade with the locals peacefully,1,10,-7,3,0,0,0,0,0
29,Forbidden Temple,The crew finds an ancient temple rumored to hold riches.,Island,5,Take your time completing each of the puzzels and traps,1,30,-30,10,0,0,0,0,0,"Rush through the temple, using force to make your way through",0.4,30,-3,10,0,8,-40,-6,-12
30,Desert Crossing,The crew navigates through a desert following a treasure map you found.,Island,4,Ensure you have all the necessary supplies before heading out,1,7,-5,3,0,0,0,0,0,Head into the desert immediately to ensure you can retieve the treasure,0.4,15,-2,10,0,-4,-7,-5,-10
31,Pirate Hunter,A bounty hunter has caught wind of the crew's hideout and is actively searching for them.,Island,3,Stand and fight off the bounty hunter,0.7,4,1,5,0,-3,-2,-5,-8,Pack up only the most valuable supplies and escape before the bounty hunter arrives,1,-3,-4,2,0,0,0,0,0
32,Tavern Informant,A crew member hears whispers about an informant selling pirate whereabouts for gold.,Island,2,Kill the informant so they can't reveal information about you,1,0,0,5,0,0,0,0,0,"""Convince"" the informant to reveal the location of your rivals",0.7,6,4,3,0,0,-2,-2,-3
33,Spy Network,A local spy has been gathering information about your crew and plans to alert the authorities.,Island,4,Kill the spy before any information can be revealed,0.9,0,0,4,0,-6,-5,-3,-10,Convince the spy to join your crew,0.5,4,6,8,4,-10,-8,-7,-9
34,Captured at the Market,Crew members get recognized in a bustling market or village square. The authorities are alerted.,Island,3,Leave the crew member to be captured and escape the port,0.9,3,3,2,-1,-3,-4,-2,-5,"Rescue the crew member, risking the capture of more crew members",0.7,4,3,10,0,-3,-5,-4,-8
35,Search Party,A naval search party is dispatched to find and capture you. They are scouring the coastline.,Island,5,Risk capture and make landfall to gather resources,0.3,15,15,15,8,-16,-20,-10,-30,Don't make landfall and return to the sea,1,-3,-5,3,0,0,0,0,0
36,Betrayed by a Local,A local villager betrays the crew in exchange for gold.,Island,3,Burn and pillage the village to set an example,0.7,8,10,2,0,3,4,-4,-6,Leave the island quickly to avoid unnecessary conflict,1,0,0,4,0,0,0,0,0
37,Pirate Haven Raid,Authorities raid a known pirate haven in search of crews.,Island,4,Abandon the haven and with it the resources you have stashed there,1,-4,-5,0,0,0,0,0,0,Join the other pirates in fighting off the invading authorities,0.4,15,12,10,16,-10,-8,-5,-20
38,Rumor at the Dock,Pirates are spotted at the docks by a merchant crew who’s eager to profit from your location.,Island,3,Preemptively attack the pirates and merchants before they can attack,0.8,8,6,5,0,-3,-4,-2,-7,Convince the merchants to betray the other pirates,0.6,12,14,9,6,-7,-8,-6,-9
39,Naval Patrol Arrival,A nearby naval patrol is on high alert and combing coastal towns for pirate crews.,Island,5,Pretend to be a merchant ship to get past the patrol,0.7,4,5,1,0,-3,-2,-8,-5,Charge forward proudly flying the jolly roger,0.4,4,5,25,3,-7,-6,0,-15
40,Public Outing,A pirate captain gets publicly recognized by a former associate who now works for the authorities.,Island,4,Rescue the captain from the authorities,0.6,12,6,5,5,-3,-5,-2,-12,Capture the captain and collect the reward,0.7,20,15,0,0,-5,-4,-6,-8
41,Merchant Ambush,A lone merchant ship sails nearby with minimal escort.,Combat,2,Launch an ambush,0.7,8,5,4,0,-1,-3,-2,-5,Let it pass,1,0,0,1,0,0,0,0,0
42,Rival Pirates,A rival pirate crew challenges you in open waters.,Combat,4,Stand and fight,0.5,8,8,7,4,-6,-5,-3,-10,Attempt to flee,0.8,0,-2,-2,0,-3,-5,-6,-15
43,Port Blockade,A port is under blockade by enemy forces.,Combat,3,Break through blockade,0.4,12,10,5,0,-2,-3,-2,-6,Wait it out,1,3,4,1,0,0,0,0,0
44,Naval Escort,You spot a cargo ship being protected by a naval escort.,Combat,5,Attack anyway,0.3,16,14,7,2,-6,-7,-7,-10,Trail them for later,0.7,6,5,3,0,-2,-3,-1,-6
45,Night Raid,A sleeping crew lies anchored and unaware of your ship.,Combat,2,Sneak aboard quietly,0.75,8,7,2,1,-3,-2,-2,-6,Fire cannons from afar,1,2,3,4,0,0,0,0,0
46,Hostile Boarding,An enemy ship attempts to board your vessel during a storm.,Combat,4,Repel the boarders,0.6,1,2,3,0,-5,-3,-4,-7,Evade using the storm,0.8,1,0,2,0,-2,-5,-3,-5
47,Smuggler Standoff,You cross paths with smugglers guarding a secret shipment.,Combat,3,Confront them for the loot,0.55,15,4,6,0,-2,-2,-3,-6,Try to negotiate,0.8,6,3,2,0,-2,-1,-1,-4
48,Surprise Cannon Fire,You're ambushed by a hidden shore battery while sailing close to land.,Combat,3,Return fire,0.5,4,3,4,0,-3,-8,-4,-8,Retreat to deeper water,1,0,0,2,0,0,0,0,0
49,Dueling Captains,Another pirate captain challenges yours to a one-on-one duel.,Combat,2,Accept the duel,0.55,7,5,6,0,-4,-3,-15,-1,Refuse and prepare battle,0.7,4,2,2,0,-3,-4,-4,-14
50,Outgunned,You spot a heavily armed ship carrying valuable cargo.,Combat,5,Go in fast and aggressive,0.35,15,15,7,0,3,4,-2,-9,Shadow and wait to strike,0.7,15,15,2,0,-3,-2,-3,-3
51,Marooned Mutineers,You find crew marooned after a failed mutiny.,Combat,2,Take them in,0.7,0,2,3,10,-4,-3,-2,0,Leave them behind,0.8,2,4,2,0,-1,-3,-4,0
52,Dockside Ambush,Rival pirates lie in wait at a secluded dock.,Combat,3,Fight through the ambush,0.55,6,5,4,0,-3,-4,-3,-8,Flee and regroup,0.9,0,0,1,0,-2,-4,-5,-14
53,Raided Outpost,A coastal outpost has been sacked—survivors request help.,Combat,3,Hunt the raiders,0.5,10,7,4,0,-2,-1,-2,-5,Ignore the request,1,1,2,0,0,0,0,0,0
54,Mercenary Offer,Mercenaries offer their services for a price.,Combat,2,Hire them,0.75,-7,2,3,14,-4,-2,0,0,Save the coin and move on,1,0,2,1,0,0,0,0,0
55,Escaped Prisoners,Escaped naval prisoners offer to join your crew.,Combat,2,Welcome them aboard,0.65,0,2,2,10,-5,-3,-2,0,Refuse and send them away,1,1,2,0,0,0,0,0,0
56,Coastal Raid,A small seaport town lies vulnerable to attack.,Combat,4,Launch a surprise raid,0.7,10,10,4,0,2,3,0,-7,Sneak in to quietly steal goods,0.9,7,7,1,0,1,1,-2,-5
57,Sabotaged Supplies,Saboteurs have poisoned part of your provisions.,Combat,4,Find and kill the saboteur,0.8,3,-10,7,0,-3,-10,-2,0,Pawn off the poisoned provisions on a revial crew,0.65,5,4,3,0,-2,-12,-2,0
58,Siege at Sea,You're caught between two warring ships exchanging fire.,Combat,5,Break through the fight,0.5,12,7,5,0,4,2,0,-7,Lay low and wait it out,0.8,7,7,3,0,4,3,-3,-5
59,Captain’s Challenge,A crew member questions your leadership and demands a vote.,Combat,3,Excute the crew member ,0.7,0,0,-3,-1,-7,-6,-14,-15,Allow the vote,0.8,0,0,8,0,-20,-20,-15,-30
60,Stolen Map,Another crew tries to steal your treasure map.,Combat,4,Fight to keep the map,0.65,10,7,5,0,-5,-6,-8,-7,Let them have it,1,0,0,-8,0,0,0,0,0
